sample_id,text,gold,pred,confusion_pair,pred_confidence,gold_from_data,prob_anger,prob_disgust,prob_fear,prob_joy,prob_neutral,prob_sadness,prob_surprise
dia73_utt0,"And shame on you! You should know better, Joey needs to work.  Now come on!",anger,disgust,anger -> disgust,0.5986363291740417,anger,0.3050532937049866,0.5986363291740417,0.0018048060592263,0.0386788062751293,0.012463329359889,0.0414117909967899,0.0019515574676916
dia49_utt10,There are children coming into the world in this very building and your negative fighting noises are not the first thing they should be hearing.,anger,disgust,anger -> disgust,0.5880549550056458,anger,0.1728589087724685,0.5880549550056458,0.0126332594081759,0.0103179300203919,0.0889664590358734,0.1244201213121414,0.0027484227903187
dia82_utt1,"Damn those robots, they’re supposed to be our",anger,disgust,anger -> disgust,0.5057510733604431,anger,0.263790875673294,0.5057510733604431,0.0112051358446478,0.0330215208232402,0.0134663004428148,0.1566309481859207,0.0161342173814773
dia14_utt4,"I want to talk to that bastard, see what his problem is.",anger,disgust,anger -> disgust,0.4969817698001861,anger,0.1104127019643783,0.4969817698001861,0.0146468859165906,0.0418646112084388,0.2879221737384796,0.0451981164515018,0.0029737472068518
dia25_utt2,"Yeah, but this  isn't the face of a person who trusts a person.",anger,disgust,anger -> disgust,0.4260802268981933,anger,0.1713507622480392,0.4260802268981933,0.0113627510145306,0.0075064785778522,0.2848089337348938,0.0951211079955101,0.0037697097286581
dia92_utt11,"Of course not, it smells like wine, which you spilled! And thanks for wrecking my sheet by the way.",anger,disgust,anger -> disgust,0.3280661702156067,anger,0.1964498609304428,0.3280661702156067,0.0029998887330293,0.282975822687149,0.0454288013279438,0.1404013186693191,0.0036781860981136
dia26_utt12,"Oh, please, you wanted to get caught.",anger,fear,anger -> fear,0.5156022906303406,anger,0.0767855122685432,0.0513222366571426,0.5156022906303406,0.0255676638334989,0.0343722961843013,0.2741053402423858,0.0222446490079164
dia42_utt4,Oh no-no-no! Oh-no!  No! No! Emily!,anger,fear,anger -> fear,0.4256918132305145,anger,0.1530988812446594,0.0659192949533462,0.4256918132305145,0.0822246596217155,0.0682940408587455,0.0756500735878944,0.1291212886571884
dia82_utt8,"I may have to, I hate to do it, but I’m the star!",anger,joy,anger -> joy,0.968177318572998,anger,0.0162814147770404,0.000522227899637,0.0010727057233452,0.968177318572998,0.003940591122955,0.0035906648263335,0.0064151240512728
dia98_utt4,I would!,anger,joy,anger -> joy,0.9438839554786682,anger,0.0161194782704114,0.0015209692064672,0.0022807966452091,0.9438839554786682,0.0139949982985854,0.0054275286383926,0.0167721901088953
dia56_utt5,Vic! Vic!,anger,joy,anger -> joy,0.8886758089065552,anger,0.0359214842319488,0.0022740238346159,0.005231908056885,0.8886758089065552,0.0246163941919803,0.0102301705628633,0.0330502428114414
dia51_utt6,Pizza!! We like Pizza!! Get out!!!,anger,joy,anger -> joy,0.8705875277519226,anger,0.0926787927746772,0.0059337522834539,0.0036162240430712,0.8705875277519226,0.0100961457937955,0.0091235348954796,0.0079640159383416
dia72_utt2,Then do Iceberg!,anger,joy,anger -> joy,0.8701213002204895,anger,0.0453746579587459,0.0039557665586471,0.0027773797046393,0.8701213002204895,0.051075991243124,0.0072642373852431,0.0194306932389736
dia82_utt18,I’m the lead in Mac and C.H.E.E.S.E.!!,anger,joy,anger -> joy,0.8321022987365723,anger,0.1089354082942009,0.0021765471901744,0.0034164052922278,0.8321022987365723,0.0251091010868549,0.0056440643966197,0.0226161796599626
dia85_utt10,That’s the magic story you use when you wanna have sex!,anger,joy,anger -> joy,0.7998157739639282,anger,0.0752680748701095,0.0056035830639302,0.0043423934839665,0.7998157739639282,0.0849175378680229,0.0172160528600215,0.0128365559503436
dia32_utt9,Do them!!,anger,joy,anger -> joy,0.7436512112617493,anger,0.203273668885231,0.003293537069112,0.0052921939641237,0.7436512112617493,0.0173363871872425,0.0099331466481089,0.0172198191285133
dia19_utt5,The woman I love is having a baby today. I've been waiting for this just as much as you have.,anger,joy,anger -> joy,0.7204725742340088,anger,0.0591584779322147,0.0021338111255317,0.0062056398019194,0.7204725742340088,0.0508292987942695,0.1290894299745559,0.032110758125782
dia5_utt11,Good.,anger,joy,anger -> joy,0.7126390933990479,anger,0.0348053537309169,0.0051198443397879,0.0020693477708846,0.7126390933990479,0.232053056359291,0.0102413203567266,0.0030720089562237
dia5_utt12,Good.,anger,joy,anger -> joy,0.7126390933990479,anger,0.0348053537309169,0.0051198443397879,0.0020693477708846,0.7126390933990479,0.232053056359291,0.0102413203567266,0.0030720089562237
dia105_utt3,Jenny’s been giving it out since they moved!,anger,joy,anger -> joy,0.6994452476501465,anger,0.2258637100458145,0.0031937295570969,0.0017249609809368,0.6994452476501465,0.0172703117132186,0.0190054755657911,0.0334965586662292
